YEAR,MONTH,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,EMPFULL,EMPPART,EMPTOTAL,EMPFTE
2021,6,20195,WI,Sky Lease Cargo,WI,Sky Lease Cargo,2,2,264,20,284,274
2021,6,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3,53602,1691,55293,54448
2021,6,20377,X9,Omni Air International LLC,X9,Omni Air International LLC,2,2,1071,2,1073,1072
2021,6,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,1,4,206,9,215,211
2021,6,20378,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2,2,3139,13,3152,3146
2021,6,20452,YX,Republic Airline,YX,Republic Airline,3,3,5496,249,5745,5621
2021,6,20046,ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,2,2,1193,25,1218,1206
2021,7,21352,0WQ,Avjet Corporation,0WQ,Avjet Corporation,1,1,129,0,129,129
2021,7,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1,1,278,0,278,278
2021,7,21518,1EQ,"KaiserAir, Inc.",1EQ,"KaiserAir, Inc.",1,4,39,29,68,54
2021,7,21577,1TQ,Rhoades Aviation dba Transair,1TQ,Rhoades Aviation dba Transair,1,1,199,55,254,227
2021,7,21652,27Q,"Jet Aviation Flight Services, Inc.",27Q,"Jet Aviation Flight Services, Inc.",1,1,602,0,602,602
2021,7,21712,2HQ,Elite Airways LLC,2HQ,Elite Airways LLC,2,2,89,16,105,97
2021,7,21754,2PQ,21 Air LLC,2PQ,21 Air LLC,1,4,85,0,85,85
2021,7,21854,34Q,"Polaris Aviation Solutions, LLC",34Q,"Polaris Aviation Solutions, LLC",1,4,27,15,42,35
2021,7,21875,37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",1,4,78,1,79,79
2021,7,21974,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",1,1,107,0,107,107
2021,7,20401,3M,Silver Airways,3M,Silver Airways,1,1,481,87,568,525
2021,7,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,1,334,62,396,365
2021,7,19917,5X,United Parcel Service,5X,United Parcel Service,3,3,6481,130,6611,6546
2021,7,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,3,3,3527,20,3547,3537
2021,7,19874,8C,Air Transport International,8C,Air Transport International,2,2,1047,0,1047,1047
2021,7,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,2,2,4779,74,4853,4816
2021,7,20190,9S,Southern Air Inc.,9S,Southern Air Inc.,2,2,554,22,576,565
2021,7,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,3,3,88130,11023,99153,93642
2021,7,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,2,2,471,6,477,474
2021,7,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,3,14993,1758,16751,15872
2021,7,20409,B6,JetBlue Airways,B6,JetBlue Airways,3,3,15135,4074,19209,17172
2021,7,20445,C5,"Commutair Aka Champlain Enterprises, Inc.",C5,"Commutair Aka Champlain Enterprises, Inc.",2,2,1475,2,1477,1476
2021,7,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,3,3,68699,4805,73504,71102
2021,7,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,3,3,5210,50,5260,5235
2021,7,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,3,3,205306,61665,266971,236139
2021,7,20368,G4,Allegiant Air,G4,Allegiant Air,3,3,3923,494,4417,4170
2021,7,20500,G7,GoJet Airlines LLC d/b/a United Express,G7,GoJet Airlines LLC d/b/a United Express,2,2,1178,0,1178,1178
2021,7,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,1,1,144,2,146,145
2021,7,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,3,3,5121,957,6078,5600
2021,7,20370,KAQ,Kalitta Air LLC,KAQ,Kalitta Air LLC,3,3,2313,7,2320,2317
2021,7,21629,KD,Western Global,KD,Western Global,2,2,402,4,406,404
2021,7,21634,KH,Aloha Air Cargo,KH,Aloha Air Cargo,2,2,407,57,464,436
2021,7,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,2,2,203,2,205,204
2021,7,20151,M6,Amerijet International,M6,Amerijet International,2,2,848,0,848,848
2021,7,20398,MQ,Envoy Air,MQ,Envoy Air,3,3,10822,4289,15111,12967
2021,7,20405,N8,National Air Cargo Group Inc d/ba National Airlines,N8,National Air Cargo Group Inc d/ba National Airlines,2,2,310,0,310,310
2021,7,20108,NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,2,2,447,7,454,451
2021,7,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,3,3,9031,285,9316,9174
2021,7,20397,OH,PSA Airlines Inc.,OH,PSA Airlines Inc.,2,2,4523,0,4523,4523
2021,7,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,3,3,13268,1715,14983,14126
2021,7,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,1,1,86,1,87,87
2021,7,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,3,3,249,0,249,249
2021,7,20427,PT,Piedmont Airlines,PT,Piedmont Airlines,2,2,5259,3871,9130,7195
2021,7,19687,QX,Horizon Air,QX,Horizon Air,2,2,2972,641,3613,3293
2021,7,19998,SI,Sierra Pacific Airlines,SI,Sierra Pacific Airlines,1,4,15,29,44,30
2021,7,20422,SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines d/b/a MN Airlines,2,2,1522,363,1885,1704
2021,7,20447,U7,USA Jet Airlines Inc.,U7,USA Jet Airlines Inc.,2,2,424,0,424,424
2021,7,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,3,3,61319,8966,70285,65802
2021,7,20195,WI,Sky Lease Cargo,WI,Sky Lease Cargo,2,2,242,39,281,262
2021,7,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,3,3,53197,1615,54812,54005
2021,7,20377,X9,Omni Air International LLC,X9,Omni Air International LLC,2,2,1074,2,1076,1075
2021,7,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,1,4,198,9,207,203
2021,7,20378,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,2,2,3146,10,3156,3151
2021,7,20452,YX,Republic Airline,YX,Republic Airline,3,3,5647,220,5867,5757
2021,7,20046,ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,2,2,1260,28,1288,1274
